Safari portal pages to build,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Transfer pages,,,,,,,,,,,,https://account.safariportal.app/acc/1594060708398499298/content-library/page/10891121/landing,,,
,,,,,,,,,,,,,,,
Pages needed:,From Area,To Area,Segment,Mode of transport,Name (RI_AreaStart_AreaEnd_Segment),General intro text,In Safari Portal,Link,Added when,Checked by Gerco (when),Note,From Station,To Station,UPDATE,
1,Tokyo,Hakone,Normal,"1. Shinkansen
2. Rent a car from Odawara station",Transfer Tokyo to Hakone,"The journey from Tokyo to Hakone is quick and comfortable, combining Japan’s high-speed rail with a short onward transfer into the mountains.",YES,https://travel.safariportal.app/TransferTransferTokyoHakonenormal?id=11223857&type=agent,05/18,10Jun26,"Add 4x Shinkansen, starting from the 4 stations, so we can delete the 3 that are not applicable","Tokyo Station
Shinagawa Station
Shinjuku Station
Ueno Station",Odawara Station,"1 to 1.5 hour, but the next page says 1.5 to 2 hours. maybe change both to 1.5 to 2 h",OK
2,Tokyo,Hakone,High,"1. Private transfer to station
2. Shinkansen (Green Class)
3. Rent a car from Odawara station / private transfer",Transfer Tokyo to Hakone,"Traveling from Tokyo to Hakone combines private transfers with Japan’s renowned high-speed rail network, ensuring a relaxed and seamless journey into the mountains.",YES,https://travel.safariportal.app/TransferTransferTokyoHakoneHigh?id=11224299&type=agent,05/18,10Jun26,"Same as above, but add a private transfer from <Hotel> to Tokyo/Shinagawa/Shinjuku/Ueno station.

So this page would have 1 private transfer text block with the 4 station titles, and then 4x shinkansen text blocks","Tokyo Station
Shinagawa Station
Shinjuku Station
Ueno Station",Odawara Station,"Add rental car option to Hakone segment

first sentence 3rd paragraph is double: 
Upon arrival, a private vehicle will take you directly to your accommodation in Hakone. ",
3,Hakone,Tokyo,Normal,"1. Return rental car to Odawara station
2. Shinkansen",Transfer Hakone to Tokyo,"Leaving the mountain landscapes of Hakone behind, the journey back to Tokyo is quick and comfortable thanks to Japan’s efficient high-speed rail network.",YES,https://travel.safariportal.app/Transfer-HTTransferTokyoHakonenormal?id=11224600&type=agent,05/18,10Jun26,"Add 4x Shinkansen, going to the 4 stations, so we can delete the 3 that are not applicable",Odawara Station,"Tokyo Station
Shinagawa Station
Shinjuku Station
Ueno Station","Title says Shinakansen, not Shinkansen",
4,Hakone,Tokyo,High,"1. Return rental car / private transfer to Odawara station
2. Shinkansen (Green Class)
3. Private transfer to Hotel",Transfer Hakone to Tokyo,"Leaving the mountain landscapes of Hakone behind, the journey back to Tokyo is quick and comfortable thanks to Japan’s efficient high-speed rail network.",YES,https://travel.safariportal.app/Transfer-HTTransferTokyoHakonehigh?id=11224656&type=agent,05/18,10Jun26,"Same as above, but add a private transfer from Tokyo/Shinagawa/Shinjuku/Ueno station to <Hotel>.

So this page would have 1 private transfer text block with the 4 station titles, and then 4x shinkansen text blocks",Odawara Station,"Tokyo Station
Shinagawa Station
Shinjuku Station
Ueno Station",,
5,Tokyo,Kyoto,Normal,1. Shinkansen,Transfer Tokyo to Kyoto,,YES,https://travel.safariportal.app/Transfer-TKTransferTokyoKyotoNormal?id=11225380&type=agent,05/18,10Jun26,"Add 2x shinkansen, from Tokyo and from Shinagawa station","Tokyo Station
Shinagawa Station",Kyoto Station,,
6,Tokyo,Kyoto,High,"1. Private transfer to station
2. Shinkansen (Green Class)
3. Private transfer to Hotel",Transfer Tokyo to Kyoto,,YES,https://travel.safariportal.app/Transfer-TKTransferTokyoKyotoHigh?id=11225591&type=agent,05/18,10Jun26,"Add 2x shinkansen, from Tokyo and from Shinagawa station","Tokyo Station
Shinagawa Station",Kyoto Station,,
7,Kyoto,Tokyo,Normal,1. Shinkansen,Transfer Kyoto to Tokyo,,YES,https://travel.safariportal.app/Transfer-KTTransferTokyoKyotoNormal?id=11225758&type=agent,05/18,10Jun26,"Add 2x shinkansen, to Tokyo and to Shinagawa station",Kyoto Station,"Tokyo Station
Shinagawa Station",,
8,Kyoto,Tokyo,High,"1. Private transfer to station
2. Shinkansen (Green Class)
3. Private transfer to Hotel",Transfer Kyoto to Tokyo,,YES,https://travel.safariportal.app/Transfer-KTTransferTokyoKyotoHigh?id=11225848&type=agent,05/18,10Jun26,"Add 2x shinkansen, to Tokyo and to Shinagawa station",Kyoto Station,"Tokyo Station
Shinagawa Station",,
9,Hakone,Kyoto,Normal,"1. Return rental car to Odawara station
2. Shinkansen",Transfer Hakone to Kyoto,,YES,https://travel.safariportal.app/Transfer-HKTransferHakoneKyotoNormal?id=11245146&type=agent,05/18,10Jun26,,Odawara Station,Kyoto Station,,
10,Hakone,Kyoto,High,"1. Return rental car / private transfer to Odawara station
2. Shinkansen (Green Class)
3. Private transfer to Hotel",Transfer Hakone to Kyoto,,YES,https://travel.safariportal.app/Transfer-HKTransferHakoneKyotoHigh?id=11245160&type=agent,05/18,10Jun26,,Odawara Station,Kyoto Station,Add rental car option,
11,Kyoto,Hakone,Normal,"1. Shinkansen
2. Rent a car from Odawara station",Transfer Kyoto to Hakone,,YES,https://travel.safariportal.app/Transfer-KHTransferHakoneKyotoNormal?id=11245170&type=agent,05/18,10Jun26,,Kyoto Station,Odawara Station,,
12,Kyoto,Hakone,High,"1. Private transfer to station
2. Shinkansen (Green Class)
3. Rent a car from Odawara station / private transfer",Transfer Kyoto to Hakone,,YES,https://travel.safariportal.app/Transfer-KHTransferHakoneKyotoHigh?id=11245171&type=agent,05/18,10Jun26,,Kyoto Station,Odawara Station,Add rental car option,
13,Kyoto,Osaka,Normal,1. Shinkansen,Transfer Kyoto to Osaka,,YES,https://travel.safariportal.app/Transfer-KOTransferKyotoOsakaNormal?id=11245364&type=agent,05/18,,,Kyoto Station,(Shin-)Osaka Station,,
14,Kyoto,Osaka,High,"1. Private transfer to station
2. Shinkansen (Green Class)
3. Private transfer to Hotel",Transfer Kyoto to Osaka,,YES,https://travel.safariportal.app/Transfer-KOTransferKyotoOsakaHigh?id=11245371&type=agent,05/18,,,Kyoto Station,(Shin-)Osaka Station,,
15,Osaka,Kyoto,Normal,1. Shinkansen,Transfer Osaka to Kyoto,,YES,https://travel.safariportal.app/Transfer-OKTransferKyotoOsakaNormal?id=11245374&type=agent,05/18,,,(Shin-)Osaka Station,Kyoto Station,,
16,Osaka,Kyoto,High,"1. Private transfer to station
2. Shinkansen (Green Class)
3. Private transfer to Hotel",Transfer Osaka to Kyoto,,YES,https://travel.safariportal.app/Transfer-OKTransferKyotoOsakaHigh?id=11245386&type=agent,05/18,,,(Shin-)Osaka Station,Kyoto Station,,
17,Kyoto,Hiroshima,Normal,1. Shinkansen,Transfer Kyoto to Hiroshima,,YES,https://travel.safariportal.app/Transfer-KHRTransferKyotoHiroshimaNormal?id=11246995&type=agent,05/18,,,Kyoto Station,Hiroshima Station,,
18,Kyoto,Hiroshima,High,"1. Private transfer to station
2. Shinkansen (Green Class)",Transfer Kyoto to Hiroshima,,YES,https://travel.safariportal.app/Transfer-KHRTransferKyotoHiroshimaHigh?id=11247507&type=agent,05/18,,,Kyoto Station,Hiroshima Station,,
19,Osaka,Hiroshima,Normal,1. Shinkansen,Transfer Osaka to Hiroshima,,YES,https://travel.safariportal.app/Transfer-OHRTransferHiroshimaOsakaNormal?id=11247553&type=agent ,05/18,,,Shin-Osaka Station,Hiroshima Station,,
20,Osaka,Hiroshima,High,"1. Private transfer to station
2. Shinkansen (Green Class)",Transfer Osaka to Hiroshima,,YES,https://travel.safariportal.app/Transfer-OHRTransferHiroshimaOsakaHigh?id=11247570&type=agent,05/18,,,Shin-Osaka Station,Hiroshima Station,,
21,Kyoto,Koyasan,Normal,"1. Various trains to Gokurakubashi Station
2. Cable car train to Koyasan

Total duration: Between 2 hours and 20 minutes and 3 hours and 40 minutes, depending on start time.

3. Rental car: For this route we often suggest to rent a car that takes 2 hours and 20 minutes, which gives you the flexibility to leave when you want and to stop halfway for lunch",Transfer Kyoto to Koyasan,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-KoyasanKyotoKoyasanNormal?id=11247643&type=agent,05/18,,,Kyoto Station,Koyasan Station,,
22,Koyasan,Kyoto,Normal,"1. Cable car train to Gokurakubashi Station 
2. Various trains to Kyoto Station

Total duration: Between 2 hours and 20 minutes and 3 hours and 40 minutes, depending on start time.

3. Rental car: For this route we often suggest to rent a car that takes 2 hours and 20 minutes, which gives you the flexibility to leave when you want and to stop halfway for lunch",Transfer Koyasan to Kyoto,,YES,https://travel.safariportal.app/Transfer-Koyasan-to-KyotoKoyasanKyotoNormal?id=11247644&type=agent,05/18,,,Koyasan Station,Kyoto Station,,
23,Osaka,Koyasan,Normal,"1. Various trains to Gokurakubashi Station
2. Cable car train to Koyasan

Total duration: Between 1 hours and 45 minutes and 2 hours and 40 minutes, depending on start time.

3. Rental car: For this route we often suggest to rent a car that takes 1 hours and 50 minutes, which gives you the flexibility to leave when you want and to stop halfway for lunch",Transfer Osaka to Koyasan,,YES,https://travel.safariportal.app/Transfer-Osaka-to-KoyasanOsakaKoyasanNormal?id=11247800&type=agent,05/18,,,Osaka Station,Koyasan Station,,
24,Koyasan,Osaka,Normal,"1. Cable car train to Gokurakubashi Station 
2. Various trains to Osaka Station

Total duration: Between 1 hours and 45 minutes and 2 hours and 40 minutes, depending on start time.

3. Rental car: For this route we often suggest to rent a car that takes 1 hours and 50 minutes, which gives you the flexibility to leave when you want and to stop halfway for lunch",Transfer Koyasan to Osaka,,YES,https://travel.safariportal.app/Transfer-Koyasan-to-OsakaKoyasanOsakaNormal?id=11247912&type=agent,05/18,,,Koyasan Station,Osaka station,,
25,Kyoto,Naoshima,Normal,"1. Shinkansen Kyoto → Okayama
2. Local train Okayama → Uno
3. Ferry Uno → Naoshima (Miyanoura Port)",Transfer Kyoto to Naoshima,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-NaoshimaKyotoNaoshimaNormal?id=11710927&type=agent,05/18,,,Kyoto Station,Naoshima (Miyanoura Port),,
26,Kyoto,Naoshima,High,"1. Private transfer to Kyoto Station
2. Shinkansen (Green Class) Kyoto → Okayama
3. Taxi Okayama → Uno
4. Ferry Uno → Naoshima",Transfer Kyoto to Naoshima ,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-NaoshimaKyotoNaoshimaHigh?id=12094823&type=agent,05/18,,,Kyoto Station,Naoshima (Miyanoura Port),,
27,Naoshima,Kyoto,Normal,"1. Ferry Naoshima → Uno
2. Local train Uno → Okayama
3. Shinkansen Okayama → Kyoto",Transfer Naoshima to Kyoto,,YES,https://travel.safariportal.app/Transfer-Naoshima-to-KyotoNaoshimaKyotoNormal?id=12094946&type=agent,05/18,,,Naoshima (Miyanoura Port),Kyoto Station,,
28,Naoshima,Kyoto,High,"1. Ferry Naoshima → Uno
2. Taxi Uno → Okayama
3. Shinkansen (Green Class) Okayama → Kyoto
4. Private transfer to Hotel",Transfer Naoshima to Kyoto,,YES,https://travel.safariportal.app/Transfer-Naoshima-to-KyotoNaoshimaKyotoHigh?id=12094969&type=agent,05/18,,,Naoshima (Miyanoura Port),Kyoto Station,,
29,Osaka,Naoshima,Normal,"1. Shinkansen Shin-Osaka → Okayama
2. Local train Okayama → Uno
3. Ferry Uno → Naoshima",Transfer Osaka to Naoshima,,YES,https://travel.safariportal.app/Transfer-Osaka-to-NaoshimaOsakaNaoshimaNormal?id=12111759&type=agent,05/18,,,Shin-Osaka Station,Naoshima (Miyanoura Port),,
30,Osaka,Naoshima,High,"1. Private transfer to Shin-Osaka Station
2. Shinkansen (Green Class) Shin-Osaka → Okayama
3. Taxi Okayama → Uno
4. Ferry Uno → Naoshima",Transfer Osaka to Naoshima,,YES,https://travel.safariportal.app/Transfer-Osaka-to-NaoshimaOsakaNaoshimaHigh?id=12111806&type=agent,05/18,,,Shin-Osaka Station,Naoshima (Miyanoura Port),,
31,Naoshima,Osaka,Normal,"1. Ferry Naoshima → Uno
2. Local train Uno → Okayama
3. Shinkansen Okayama → Shin-Osaka",Transfer Naoshima to Osaka,,YES,https://travel.safariportal.app/Transfer-Naoshima-to-OsakaNaoshimaOsakaNormal?id=12111839&type=agent,05/18,,,Naoshima (Miyanoura Port),Shin-Osaka Station,,
32,Naoshima,Osaka,High,"1. Ferry Naoshima → Uno
2. Taxi Uno → Okayama
3. Shinkansen (Green Class) Okayama → Shin-Osaka
4. Private transfer to Hotel",Transfer Naoshima to Osaka,,YES,https://travel.safariportal.app/Transfer-Naoshima-to-OsakaNaoshimaOsakaHigh?id=12111864&type=agent,05/18,,,Naoshima (Miyanoura Port),Shin-Osaka Station,,
33,Tokyo,Kawaguchiko,Normal,1. Limited Express Fuji Excursion Shinjuku → Kawaguchiko,Transfer Tokyo to Kawaguchiko,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-KawaguchikoTokyoKawaguchikoNormal?id=12111913&type=agent,05/18,,,Shinjuku Station,Kawaguchiko Station,,
34,Tokyo,Kawaguchiko,High,"1. Private transfer to Shinjuku Station
2. Limited Express Fuji Excursion (Reserved seats)
3. Taxi Kawaguchiko Station → Hotel",Transfer Tokyo to Kawaguchiko,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-KawaguchikoTokyoKawaguchikoHigh?id=12111972&type=agent,05/18,,,Shinjuku Station,Kawaguchiko Station,,
35,Kawaguchiko,Tokyo,Normal,1. Limited Express Fuji Excursion Kawaguchiko → Shinjuku,Transfer Kawaguchiko to Tokyo,,YES,https://travel.safariportal.app/Transfer-Kawaguchiko-to-TokyoKawaguchikoTokyoNormal?id=12111999&type=agent,05/18,,,Kawaguchiko Station,Shinjuku Station,,
36,Kawaguchiko,Tokyo,High,"1. Taxi Hotel → Kawaguchiko Station
2. Limited Express Fuji Excursion (Reserved seats)
3. Private transfer Shinjuku Station → Hotel",Transfer Kawaguchiko to Tokyo,,YES,https://travel.safariportal.app/Transfer-Kawaguchiko-to-TokyoKawaguchikoTokyoHigh?id=12112014&type=agent,05/18,,,Kawaguchiko Station,Shinjuku Station,,
37,Kanazawa,Takayama,Normal,1. Nohi Bus Kanazawa → Takayama,Transfer Kanzawa to Takayama,,YES,https://travel.safariportal.app/Transfer-Kanazawa-to-TakayamaKanazawaTakayamaNormal?id=12112207&type=agent,05/18,,,Kanazawa Station,Takayama Station,,
38,Kanazawa,Takayama,High,1. Private transfer Kanazawa → Takayama,Transfer Kanzawa to Takayama,,YES,https://travel.safariportal.app/Transfer-Kanazawa-to-TakayamaKanazawaTakayamaHigh?id=12112233&type=agent,05/18,,,Kanazawa Station,Takayama Station,,
39,Takayama,Kanazawa,Normal,1. Nohi Bus Takayama → Kanazawa,Transfer Takayama to Kanazawa,,YES,https://travel.safariportal.app/Transfer-Takayama-to-KanazawaTakayamaKanazawaNormal?id=12112268&type=agent,05/18,,,Takayama Station,Kanazawa Station,,
40,Takayama,Kanazawa,High,1. Private transfer Takayama → Kanazawa,Transfer Takayama to Kanazawa,,YES,https://travel.safariportal.app/Transfer-Takayama-to-KanazawaTakayamaKanazawaHigh?id=12112287&type=agent,05/18,,,Takayama Station,Kanazawa Station,,
41,Takayama,Kyoto,Normal,"1. JR Limited Express Hida Takayama → Nagoya
2. Shinkansen Nagoya → Kyoto",Transfer Takayama to Kyoto,,YES,https://travel.safariportal.app/Transfer-Takayama-to-KyotoTakayamaKyotoNormal?id=12112326&type=agent,05/18,,,Takayama Station,Kyoto Station,,
42,Takayama,Kyoto,High,"1. Taxi Hotel → Takayama Station
2. JR Limited Express Hida (Green Class) Takayama → Nagoya
3. Shinkansen (Green Class) Nagoya → Kyoto
4. Private transfer station → Hotel",Transfer Takayama to Kyoto,,YES,https://travel.safariportal.app/Transfer-Takayama-to-KyotoTakayamaKyotoHigh?id=12112380&type=agent,05/18,,,Takayama Station,Kyoto Station,,
43,Kyoto,Takayama,Normal,"1. Shinkansen Kyoto → Nagoya
2. JR Limited Express Hida Nagoya → Takayama",Transfer Kyoto to Takayama,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-TakayamaKyotoTakayamaNormal?id=12112522&type=agent,05/18,,,Kyoto Station,Takayama Station,,
44,Kyoto,Takayama,High,"1. Private transfer to Kyoto Station
2. Shinkansen (Green Class) Kyoto → Nagoya
3. JR Limited Express Hida (Green Class) Nagoya → Takayama
4. Taxi station → Hotel",Transfer Kyoto to Takayama,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-TakayamaKyotoTakayamaHigh?id=12112569&type=agent,05/18,,,Kyoto Station,Takayama Station,,
45,Kyoto,Hiroshima,Normal,1. Shinkansen Kyoto → Hiroshima,Transfer Kyoto to Hiroshima,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-HiroshimaKyotoHiroshimaNormal?id=12134754&type=agent,05/18,,,Kyoto Station,Hiroshima Station,,
46,Kyoto,Hiroshima,High,"1. Private transfer to Kyoto Station
2. Shinkansen (Green Class) Kyoto → Hiroshima
3. Private transfer station → Hotel",Transfer Kyot to Hiroshima,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-HiroshimaKyotoHiroshimaHigh?id=12134768&type=agent,05/18,,,Kyoto Station,Hiroshima Station,,
47,Hiroshima,Kyoto,Normal,1. Shinkansen Hiroshima → Kyoto,Transfer Hiroshima to Kyoto,,YES,https://travel.safariportal.app/Transfer-Hiroshima-to-KyotoHiroshimaKyotoNormal?id=12134772&type=agent,05/18,,,Hiroshima Station,Kyoto Station,,
48,Hiroshima,Kyoto,High,"1. Private transfer Hotel → Hiroshima Station
2. Shinkansen (Green Class) Hiroshima → Kyoto
3. Private transfer station → Hotel",Transfer Hiroshima to Kyoto,,YES,https://travel.safariportal.app/Transfer-Hiroshima-to-KyotoHiroshimaKyotoHigh?id=12134773&type=agent,05/18,,,Hiroshima Station,Kyoto Station,,
51,Hiroshima,Osaka,Normal,1. Shinkansen Hiroshima → Shin-Osaka,Transfer Hiroshima to Osaka,,YES,https://travel.safariportal.app/Transfer-Hiroshima-to-OsakaHiroshimaOsakaNormal?id=12136614&type=agent,05/18,,,Hiroshima Station,Shin-Osaka Station,,
52,Hiroshima,Osaka,High,"1. Private transfer Hotel → Hiroshima Station
2. Shinkansen (Green Class) Hiroshima → Shin-Osaka
3. Private transfer station → Hotel",Transfer Hiroshima to Osaka,,YES,https://travel.safariportal.app/Transfer-Hiroshima-to-OsakaHiroshimaOsakaHigh?id=12136619&type=agent,05/18,,,Hiroshima Station,Shin-Osaka Station,,
53,Hiroshima,Miyajima,Normal,"1. JR train Hiroshima → Miyajimaguchi
2. Ferry Miyajimaguchi → Miyajima",Transfer Hiroshima to Miyajima,,YES,https://travel.safariportal.app/Transfer-Hiroshima-to-MiyajimaHiroshimaMiyajimaNormal?id=12142001&type=agent,05/18,,,Hiroshima Station,Miyajimaguchi Station,,
54,Hiroshima,Miyajima,High,"1. Taxi Hotel → Hiroshima Station
2. JR train Hiroshima → Miyajimaguchi
3. Ferry → Miyajima
4. Ryokan pickup",Transfer Hiroshima to Miyajima,,YES,https://travel.safariportal.app/Transfer-Hiroshima-to-MiyajimaHiroshimaMiyajimaHigh?id=12142164&type=agent,05/18,,,Hiroshima Station,Miyajima Port,,
55,Miyajima,Hiroshima,Normal,"1. Ferry Miyajima → Miyajimaguchi
2. JR train Miyajimaguchi → Hiroshima",Transfer Miyajima to Hiroshima,,YES,https://travel.safariportal.app/Transfer-Miyajima-to-HiroshimaMiyajimaHiroshimaNormal?id=12142355&type=agent,05/18,,,Miyajima Port,Hiroshima Station,,
56,Miyajima,Hiroshima,High,"1. Ferry Miyajima → Miyajimaguchi
2. JR train → Hiroshima
3. Private transfer station → Hotel",Transfer Miyajima to Hiroshima,,YES,https://travel.safariportal.app/Transfer-Miyajima-to-HiroshimaMiyajimaHiroshimaHigh?id=12142495&type=agent,05/18,,,Miyajima Port,Hiroshima Station,,
